PollingUnitID,State,LGA,Ward,ElectionYear,RegisteredVoters,PartyAVotes,PartyBVotes,PartyCVotes,TotalVotesCast,Turnout Percentage,AnomalyFlag,MergeKey,LGA.1,State.1,ElectionYear.1,IncidentCount,AvgSeverityScore,AnomalyIndicator
PU008,Rivers,Obio/Akpor,Ward F,2019,850,420,380,48,848,99.76,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU015,Rivers,Obio/Akpor,Ward F,2019,820,410,395,15,820,100,Perfect Turnout,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,1
PU018,Lagos,Eti-Osa,Ward C,2019,580,290,270,15,575,99.14,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU019,Rivers,Port Harcourt,Ward D,2019,880,440,420,18,878,99.77,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU020,Abuja,Bwari,Ward B,2019,970,490,460,20,970,100,Perfect Turnout,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,1
PU021,Lagos,Surulere,Ward B,2019,530,260,250,20,530,100,Perfect Turnout,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,1
PU022,Kano,Nassarawa,Ward C,2019,820,400,380,30,810,98.78,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU023,Rivers,Obio/Akpor,Ward G,2019,890,430,410,40,880,98.88,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU024,Abuja,AMAC,Ward B,2019,1150,570,530,45,1145,99.57,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU025,Lagos,Eti-Osa,Ward D,2019,620,310,280,25,615,99.19,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU026,Kano,Fagge,Ward B,2019,660,320,300,35,655,99.24,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU027,Rivers,Port Harcourt,Ward E,2019,920,460,420,35,915,99.46,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU028,Abuja,Bwari,Ward C,2019,980,490,450,30,970,98.98,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU029,Lagos,Surulere,Ward C,2019,540,270,250,15,535,99.07,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU030,Kano,Nassarawa,Ward D,2019,790,390,360,30,780,98.73,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU031,Rivers,Obio/Akpor,Ward H,2019,860,420,400,30,850,98.84,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU032,Abuja,AMAC,Ward C,2019,1080,530,500,40,1070,99.07,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU033,Lagos,Eti-Osa,Ward E,2019,590,300,270,20,590,100,Perfect Turnout,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,1
PU034,Kano,Fagge,Ward C,2019,630,310,290,25,625,99.21,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU035,Rivers,Port Harcourt,Ward F,2019,910,455,420,30,905,99.45,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU036,Abuja,Bwari,Ward D,2019,960,480,440,35,955,99.48,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU037,Lagos,Surulere,Ward D,2019,520,255,240,20,515,99.04,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU038,Kano,Nassarawa,Ward E,2019,770,380,350,35,765,99.35,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU039,Rivers,Obio/Akpor,Ward I,2019,840,410,390,35,835,99.4,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU040,Abuja,AMAC,Ward D,2019,1120,560,520,40,1120,100,Perfect Turnout,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,1
PU041,Lagos,Eti-Osa,Ward F,2019,610,305,280,25,610,100,Perfect Turnout,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,1
PU042,Kano,Fagge,Ward D,2019,650,320,300,30,645,99.23,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU043,Rivers,Port Harcourt,Ward G,2019,930,465,430,30,925,99.46,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU044,Abuja,Bwari,Ward E,2019,990,495,460,30,985,99.49,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU045,Lagos,Surulere,Ward E,2019,560,280,260,20,555,99.11,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU046,Kano,Nassarawa,Ward F,2019,800,400,370,25,795,99.38,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU047,Rivers,Obio/Akpor,Ward J,2019,870,435,410,25,865,99.43,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU048,Abuja,AMAC,Ward E,2019,1090,545,510,35,1085,99.54,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU049,Lagos,Eti-Osa,Ward G,2019,570,285,260,20,565,99.12,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU050,Kano,Fagge,Ward E,2019,670,335,310,25,665,99.25,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU051,Rivers,Port Harcourt,Ward H,2019,940,470,435,30,935,99.47,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU052,Abuja,Bwari,Ward F,2019,1000,500,465,35,995,99.5,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU053,Lagos,Surulere,Ward F,2019,550,275,255,15,545,99.09,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU054,Kano,Nassarawa,Ward G,2019,810,405,375,30,805,99.38,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU055,Rivers,Obio/Akpor,Ward K,2019,880,440,415,25,875,99.43,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU056,Abuja,AMAC,Ward F,2019,1140,570,535,35,1135,99.56,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU057,Lagos,Eti-Osa,Ward H,2019,600,300,275,25,595,99.17,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU058,Kano,Fagge,Ward F,2019,680,340,315,25,675,99.26,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU059,Rivers,Port Harcourt,Ward I,2019,950,475,440,35,945,99.47,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU060,Abuja,Bwari,Ward G,2019,1010,505,470,30,1005,99.5,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU061,Lagos,Surulere,Ward G,2019,570,285,265,20,565,99.12,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU062,Kano,Nassarawa,Ward H,2019,830,415,385,30,825,99.4,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU063,Rivers,Obio/Akpor,Ward L,2019,890,445,420,25,885,99.44,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU064,Abuja,AMAC,Ward G,2019,1110,555,520,35,1105,99.55,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU065,Lagos,Eti-Osa,Ward I,2019,580,290,265,25,575,99.14,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU066,Kano,Fagge,Ward G,2019,690,345,320,25,685,99.28,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU067,Rivers,Port Harcourt,Ward J,2019,960,480,445,35,955,99.48,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU068,Abuja,Bwari,Ward H,2019,1020,510,475,35,1015,99.51,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU069,Lagos,Surulere,Ward H,2019,590,295,275,20,585,99.15,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU070,Kano,Nassarawa,Ward I,2019,840,420,390,30,835,99.4,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU071,Rivers,Obio/Akpor,Ward M,2019,900,450,425,25,895,99.44,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU072,Abuja,AMAC,Ward H,2019,1130,565,530,35,1125,99.56,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU073,Lagos,Eti-Osa,Ward J,2019,610,305,280,25,605,99.18,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU074,Kano,Fagge,Ward H,2019,700,350,325,25,695,99.29,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU075,Rivers,Port Harcourt,Ward K,2019,970,485,450,35,965,99.48,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU076,Abuja,Bwari,Ward I,2019,1030,515,480,35,1025,99.51,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU077,Lagos,Surulere,Ward I,2019,600,300,280,20,595,99.17,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU078,Kano,Nassarawa,Ward J,2019,850,425,395,30,845,99.41,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU079,Rivers,Obio/Akpor,Ward N,2019,910,455,430,25,905,99.45,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU080,Abuja,AMAC,Ward I,2019,1150,575,540,35,1145,99.57,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU081,Lagos,Eti-Osa,Ward K,2019,620,310,285,25,615,99.19,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU082,Kano,Fagge,Ward I,2019,710,355,330,25,705,99.3,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU083,Rivers,Port Harcourt,Ward L,2019,980,490,455,35,975,99.49,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU084,Abuja,Bwari,Ward J,2019,1040,520,485,35,1035,99.52,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU085,Lagos,Surulere,Ward J,2019,610,305,285,20,605,99.18,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU086,Kano,Nassarawa,Ward K,2019,860,430,400,30,855,99.42,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU087,Rivers,Obio/Akpor,Ward O,2019,920,460,435,25,915,99.46,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU088,Abuja,AMAC,Ward J,2019,1160,580,545,35,1155,99.57,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU089,Lagos,Eti-Osa,Ward L,2019,630,315,290,25,625,99.21,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU090,Kano,Fagge,Ward J,2019,720,360,335,25,715,99.31,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU091,Rivers,Port Harcourt,Ward M,2019,990,495,460,35,985,99.49,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU092,Abuja,Bwari,Ward K,2019,1050,525,490,35,1045,99.52,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU093,Lagos,Surulere,Ward K,2019,620,310,290,20,615,99.19,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU094,Kano,Nassarawa,Ward L,2019,870,435,405,30,865,99.43,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU095,Rivers,Obio/Akpor,Ward P,2019,930,465,440,25,925,99.46,Normal,Obio/Akpor-Rivers-2019,Obio/Akpor,Rivers,2019,12,3.916666667,0
PU096,Abuja,AMAC,Ward K,2019,1170,585,550,35,1165,99.57,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU097,Lagos,Eti-Osa,Ward M,2019,640,320,295,25,635,99.22,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU098,Kano,Fagge,Ward K,2019,730,365,340,25,725,99.32,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU099,Rivers,Port Harcourt,Ward N,2019,1000,500,465,35,995,99.5,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU100,Abuja,Bwari,Ward L,2019,1060,530,495,35,1055,99.53,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU101,Lagos,Surulere,Ward A,2023,500,260,195,60,515,103,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU102,Lagos,Surulere,Ward A,2023,475,10,5,3,18,3.79,Suspicious Low,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU103,Lagos,Eti-Osa,Ward C,2023,600,320,210,95,625,104.17,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU104,Kano,Nassarawa,Ward B,2023,800,420,360,55,835,104.38,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU105,Kano,Nassarawa,Ward B,2023,750,390,330,45,765,102,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU106,Kano,Fagge,Ward A,2023,620,300,290,50,640,103.23,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU107,Rivers,Port Harcourt,Ward D,2023,900,470,410,60,940,104.44,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU108,Rivers,Obio/Akpor,Ward F,2023,850,440,390,52,882,103.76,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU109,Rivers,Port Harcourt,Ward D,2023,700,370,0,35,405,57.86,Normal,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,0
PU110,Lagos,Eti-Osa,Ward C,2023,550,280,240,-10,510,92.73,Normal,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,0
PU111,Abuja,AMAC,Ward A,2023,1200,620,510,95,1225,102.08,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU112,Abuja,Bwari,Ward B,2023,950,490,430,50,970,102.11,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU113,Kano,Nassarawa,Ward B,2023,780,400,380,25,805,103.21,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU114,Lagos,Surulere,Ward A,2023,510,270,250,15,535,104.9,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU115,Rivers,Obio/Akpor,Ward F,2023,820,430,405,20,855,104.27,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU116,Abuja,AMAC,Ward A,2023,1100,560,530,40,1130,102.73,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU117,Kano,Fagge,Ward A,2023,640,310,320,30,660,103.12,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU118,Lagos,Eti-Osa,Ward C,2023,580,300,280,20,600,103.45,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU119,Rivers,Port Harcourt,Ward D,2023,880,460,430,22,912,103.64,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU120,Abuja,Bwari,Ward B,2023,970,500,470,25,995,102.58,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU121,Lagos,Surulere,Ward B,2023,530,270,260,25,555,104.72,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU122,Kano,Nassarawa,Ward C,2023,820,420,390,35,845,103.05,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU123,Rivers,Obio/Akpor,Ward G,2023,890,450,420,45,915,102.81,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU124,Abuja,AMAC,Ward B,2023,1150,590,540,50,1180,102.61,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU125,Lagos,Eti-Osa,Ward D,2023,620,320,290,30,640,103.23,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU126,Kano,Fagge,Ward B,2023,660,330,310,40,680,103.03,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU127,Rivers,Port Harcourt,Ward E,2023,920,480,430,40,950,103.26,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU128,Abuja,Bwari,Ward C,2023,980,500,460,35,995,101.53,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU129,Lagos,Surulere,Ward C,2023,540,280,260,20,560,103.7,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU130,Kano,Nassarawa,Ward D,2023,790,410,370,35,815,103.16,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU131,Rivers,Obio/Akpor,Ward H,2023,860,440,410,35,885,102.91,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU132,Abuja,AMAC,Ward C,2023,1080,550,510,45,1105,102.31,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU133,Lagos,Eti-Osa,Ward E,2023,590,310,280,25,615,104.24,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU134,Kano,Fagge,Ward C,2023,630,320,300,30,650,103.17,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU135,Rivers,Port Harcourt,Ward F,2023,910,475,430,35,940,103.3,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU136,Abuja,Bwari,Ward D,2023,960,490,450,40,980,102.08,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU137,Lagos,Surulere,Ward D,2023,520,265,250,25,540,103.85,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU138,Kano,Nassarawa,Ward E,2023,770,400,360,40,800,103.9,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU139,Rivers,Obio/Akpor,Ward I,2023,840,430,400,40,870,103.57,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU140,Abuja,AMAC,Ward D,2023,1120,580,530,45,1155,103.12,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU141,Lagos,Eti-Osa,Ward F,2023,610,315,290,30,635,104.1,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU142,Kano,Fagge,Ward D,2023,650,330,310,35,675,103.85,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU143,Rivers,Port Harcourt,Ward G,2023,930,485,440,35,960,103.23,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU144,Abuja,Bwari,Ward E,2023,990,510,470,35,1015,102.53,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU145,Lagos,Surulere,Ward E,2023,560,290,270,25,585,104.46,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU146,Kano,Nassarawa,Ward F,2023,800,420,380,30,830,103.75,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU147,Rivers,Obio/Akpor,Ward J,2023,870,455,420,30,905,104.02,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU148,Abuja,AMAC,Ward E,2023,1090,565,520,40,1125,103.21,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU149,Lagos,Eti-Osa,Ward G,2023,570,295,270,25,590,103.51,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU150,Kano,Fagge,Ward E,2023,670,345,320,30,695,103.73,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU151,Rivers,Port Harcourt,Ward H,2023,940,490,445,35,970,103.19,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU152,Abuja,Bwari,Ward F,2023,1000,520,475,40,1035,103.5,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU153,Lagos,Surulere,Ward F,2023,550,285,265,20,570,103.64,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU154,Kano,Nassarawa,Ward G,2023,810,425,385,35,845,104.32,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU155,Rivers,Obio/Akpor,Ward K,2023,880,460,425,30,915,103.98,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU156,Abuja,AMAC,Ward F,2023,1140,590,545,40,1175,103.07,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU157,Lagos,Eti-Osa,Ward H,2023,600,310,285,30,625,104.17,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU158,Kano,Fagge,Ward F,2023,680,350,325,30,705,103.68,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU159,Rivers,Port Harcourt,Ward I,2023,950,495,450,40,985,103.68,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU160,Abuja,Bwari,Ward G,2023,1010,525,480,35,1040,102.97,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU161,Lagos,Surulere,Ward G,2023,570,295,275,25,595,104.39,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU162,Kano,Nassarawa,Ward H,2023,830,435,395,35,865,104.22,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU163,Rivers,Obio/Akpor,Ward L,2023,890,465,430,30,925,103.93,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
PU164,Abuja,AMAC,Ward G,2023,1110,575,530,40,1145,103.15,Over-voting,AMAC-Abuja-2023,AMAC,Abuja,2023,12,3,1
PU165,Lagos,Eti-Osa,Ward I,2023,580,300,275,30,605,104.31,Over-voting,Eti-Osa-Lagos-2023,Eti-Osa,Lagos,2023,12,3.833333333,1
PU166,Kano,Fagge,Ward G,2023,690,355,330,30,715,103.62,Over-voting,Fagge-Kano-2023,Fagge,Kano,2023,12,4.833333333,1
PU167,Rivers,Port Harcourt,Ward J,2023,960,500,455,40,995,103.65,Over-voting,Port Harcourt-Rivers-2023,Port Harcourt,Rivers,2023,13,4.769230769,1
PU168,Abuja,Bwari,Ward H,2023,1020,530,485,40,1055,103.43,Over-voting,Bwari-Abuja-2023,Bwari,Abuja,2023,12,4,1
PU169,Lagos,Surulere,Ward H,2023,590,305,285,25,615,104.24,Over-voting,Surulere-Lagos-2023,Surulere,Lagos,2023,13,4.692307692,1
PU170,Kano,Nassarawa,Ward I,2023,840,440,400,35,875,104.17,Over-voting,Nassarawa-Kano-2023,Nassarawa,Kano,2023,13,4.769230769,1
PU171,Rivers,Obio/Akpor,Ward M,2023,900,470,435,30,935,103.89,Over-voting,Obio/Akpor-Rivers-2023,Obio/Akpor,Rivers,2023,12,4.833333333,1
